resource_id,instance_type,region,status,cpu_utilization,memory_utilization,monthly_cost
i-0a1b2c3d4e5f00001,t3.micro,us-east-1,running,72.5,65.0,8.50
i-0a1b2c3d4e5f00002,t3.small,us-east-1,running,45.3,52.1,17.00
i-0a1b2c3d4e5f00003,m5.large,us-west-2,running,88.7,79.4,70.00
i-0a1b2c3d4e5f00004,m5.xlarge,us-west-2,running,12.1,18.5,140.00
i-0a1b2c3d4e5f00005,c5.large,eu-west-1,running,91.2,85.3,62.00
i-0a1b2c3d4e5f00006,t3.medium,us-east-1,stopped,0.0,0.0,0.00
i-0a1b2c3d4e5f00007,r5.large,us-east-1,running,8.4,11.2,91.00
i-0a1b2c3d4e5f00008,t3.micro,eu-west-1,running,55.0,48.7,8.50
i-0a1b2c3d4e5f00009,m5.2xlarge,us-west-2,stopped,0.0,0.0,0.00
i-0a1b2c3d4e5f00010,t3.large,us-east-1,running,5.2,9.8,61.00
i-0a1b2c3d4e5f00011,c5.xlarge,eu-west-1,running,78.3,70.1,124.00
i-0a1b2c3d4e5f00012,t3.small,us-west-2,running,3.1,7.5,17.00
